bookingid_(pnr),reservation_date,cancellation_date,flight_date,origin,destination,routing,flightnumber,revenue_per_booking_(ticket),revenue_per_booking_(ancilliary_pre_check_in),revenue_per_booking_(ancilliary_at_check_in),passengercount,bookingid_norm,routing_canonical,total_revenue
700010,2025-04-06,2025-04-10,2025-04-13,FCO,FRA,FCO → FRA,DE1003,120.0,0.0,2.26,1,700010,FCO-FRA,122.26
700061,2025-03-06,2025-03-09,2025-04-30,FCO,FRA,FCO-FRA,DE1003,68.0,11.51,4.84,1,700061,FCO-FRA,84.35000000000001
700114,2025-03-01,2025-03-04,2025-03-12,FRA,FCO,FRA-FCO,DE1000,160.0,5.71,0.0,2,700114,FRA-FCO,165.71
700123,2025-02-23,2025-02-27,2025-03-03,FCO,FRA,FCO → FRA,DE1003,80.0,13.3,0.0,1,700123,FCO-FRA,93.3
700131,2025-03-18,2025-03-19,2025-03-24,PMO,FCO,PMO-FCO,DE1002,216.0,6.8,8.66,2,700131,PMO-FCO,231.46
700134,2025-03-13,2025-03-14,2025-03-24,FCO,FRA,FCO → FRA,DE1003,80.0,13.21,3.27,1,700134,FCO-FRA,96.48
700135,2025-01-31,2025-02-01,2025-03-07,FRA,FCO,FRA-FCO,DE1000,136.0,11.85,9.36,2,700135,FRA-FCO,157.20999999999998
700171,2025-02-27,2025-02-28,2025-04-18,FRA,FCO,FRA-FCO,DE1000,85.0,0.0,4.98,1,700171,FRA-FCO,89.98
700198,2025-03-13,2025-03-15,2025-04-28,PMO,FCO,PMO → FCO,DE1002,153.0,15.71,0.0,2,700198,PMO-FCO,168.71
700202,2025-04-17,2025-04-21,2025-04-30,FRA,FCO,FRA → FCO,DE1000,80.0,6.02,8.44,1,700202,FRA-FCO,94.46
700220,2025-01-29,2025-02-01,2025-03-06,FCO,PMO,FCO-PMO,DE1001,153.0,17.79,5.8,2,700220,FCO-PMO,176.59
700222,2025-03-30,2025-04-02,2025-04-03,PMO,FCO,PMO-FCO,DE1002,108.0,18.08,0.0,1,700222,PMO-FCO,126.08
700245,2025-03-22,2025-03-23,2025-04-21,FCO,FRA,FCO-FRA,DE1003,85.0,11.41,3.27,1,700245,FCO-FRA,99.67999999999999
700258,2025-01-19,2025-01-22,2025-03-12,FCO,PMO,FCO → PMO,DE1001,76.5,10.38,5.13,1,700258,FCO-PMO,92.00999999999999
700287,2025-01-30,2025-02-03,2025-03-02,FCO,PMO,FCO-PMO,DE1001,76.5,16.04,6.37,1,700287,FCO-PMO,98.91
700319,2025-01-07,2025-01-10,2025-03-05,PMO,FCO,PMO-FCO,DE1002,153.0,17.44,8.99,2,700319,PMO-FCO,179.43
700323,2025-01-27,2025-01-29,2025-03-05,FRA,FCO,FRA-FCO,DE1000,68.0,18.89,3.48,1,700323,FRA-FCO,90.37
700332,2025-03-04,2025-03-05,2025-03-28,FCO,FRA,FCO → FRA,DE1003,68.0,0.0,0.0,1,700332,FCO-FRA,68.0
700342,2025-02-18,2025-02-22,2025-03-27,FCO,FRA,FCO-FRA,DE1003,68.0,5.09,3.43,1,700342,FCO-FRA,76.52000000000001
700345,2025-02-22,2025-02-25,2025-04-18,PMO,FCO,PMO → FCO,DE1002,191.25,9.99,0.0,2,700345,PMO-FCO,201.24
700362,2025-03-24,2025-03-28,2025-04-27,PMO,FCO,PMO-FCO,DE1002,95.62,5.44,0.0,1,700362,PMO-FCO,101.06
700368,2025-01-30,2025-02-02,2025-03-05,FCO,PMO,FCO-PMO,DE1001,153.0,0.0,0.0,2,700368,FCO-PMO,153.0
700373,2025-03-14,2025-03-17,2025-03-27,FCO,FRA,FCO-FRA,DE1003,160.0,15.03,2.55,2,700373,FCO-FRA,177.58
700449,2025-02-25,2025-02-28,2025-04-23,FCO,PMO,FCO-PMO,DE1001,95.62,18.52,8.6,1,700449,FCO-PMO,122.74
700476,2025-02-25,2025-02-28,2025-04-09,FCO,PMO,FCO-PMO,DE1001,76.5,0.0,8.33,1,700476,FCO-PMO,84.83
700484,2025-03-16,2025-03-20,2025-04-13,FCO,PMO,FCO-PMO,DE1001,191.25,15.33,0.0,2,700484,FCO-PMO,206.58
700493,2025-03-08,2025-03-12,2025-04-03,FRA,FCO,FRA-FCO,DE1000,204.0,6.04,9.84,3,700493,FRA-FCO,219.88
700496,2025-02-28,2025-03-04,2025-04-13,PMO,FCO,PMO-FCO,DE1002,191.25,0.0,5.31,2,700496,PMO-FCO,196.56
700529,2025-02-21,2025-02-22,2025-04-17,FCO,FRA,FCO-FRA,DE1003,85.0,18.28,8.79,1,700529,FCO-FRA,112.07
700546,2025-02-17,2025-02-20,2025-03-14,FCO,FRA,FCO → FRA,DE1003,136.0,6.77,3.61,2,700546,FCO-FRA,146.38000000000002
700578,2025-03-13,2025-03-14,2025-03-15,FCO,FRA,FCO-FRA,DE1003,240.0,18.71,9.92,2,700578,FCO-FRA,268.63
700604,2025-02-13,2025-02-16,2025-03-01,PMO,FCO,PMO-FCO,DE1002,153.0,14.87,2.75,2,700604,PMO-FCO,170.62
700609,2025-04-15,2025-04-19,2025-04-18,FCO,FRA,FCO-FRA,DE1003,150.0,0.0,0.0,1,700609,FCO-FRA,150.0
700709,2025-03-10,2025-03-13,2025-04-07,FRA,FCO,FRA-FCO,DE1000,136.0,12.88,0.0,2,700709,FRA-FCO,148.88
700719,2025-02-03,2025-02-07,2025-03-28,FCO,PMO,FCO-PMO,DE1001,76.5,10.5,2.69,1,700719,FCO-PMO,89.69
700735,2025-03-05,2025-03-07,2025-03-27,FRA,FCO,FRA → FCO,DE1000,68.0,0.0,3.63,1,700735,FRA-FCO,71.63
700805,2025-03-07,2025-03-11,2025-04-19,PMO,FCO,PMO-FCO,DE1002,95.62,18.1,6.61,1,700805,PMO-FCO,120.33
700819,2025-02-16,2025-02-20,2025-03-16,FCO,FRA,FCO-FRA,DE1003,68.0,15.39,0.0,1,700819,FCO-FRA,83.39
700827,2025-01-28,2025-01-30,2025-03-22,FCO,FRA,FCO-FRA,DE1003,68.0,10.77,0.0,1,700827,FCO-FRA,78.77
700838,2025-01-16,2025-01-20,2025-03-16,FRA,FCO,FRA-FCO,DE1000,204.0,10.97,5.83,3,700838,FRA-FCO,220.8
700895,2025-03-14,2025-03-16,2025-04-19,PMO,FCO,PMO → FCO,DE1002,95.62,12.66,8.49,1,700895,PMO-FCO,116.77
700899,2025-03-26,2025-03-27,2025-04-18,FCO,PMO,FCO-PMO,DE1001,95.62,11.3,6.04,1,700899,FCO-PMO,112.96000000000001
700906,2025-02-08,2025-02-11,2025-03-07,FCO,PMO,FCO-PMO,DE1001,229.5,11.1,8.01,3,700906,FCO-PMO,248.60999999999999
700909,2025-03-02,2025-03-06,2025-04-17,FRA,FCO,FRA → FCO,DE1000,85.0,17.86,0.0,1,700909,FRA-FCO,102.86
700943,2025-03-10,2025-03-13,2025-03-24,FCO,FRA,FCO-FRA,DE1003,80.0,0.0,0.0,1,700943,FCO-FRA,80.0
700951,2025-02-18,2025-02-20,2025-03-17,FRA,FCO,FRA-FCO,DE1000,68.0,17.17,3.66,1,700951,FRA-FCO,88.83
700974,2025-02-10,2025-02-14,2025-03-14,PMO,FCO,PMO → FCO,DE1002,153.0,10.38,5.28,2,700974,PMO-FCO,168.66
701006,2025-03-11,2025-03-12,2025-04-24,FRA,FCO,FRA-FCO,DE1000,170.0,0.0,5.06,2,701006,FRA-FCO,175.06
701020,2025-02-12,2025-02-16,2025-03-15,PMO,FCO,PMO-FCO,DE1002,76.5,10.29,7.82,1,701020,PMO-FCO,94.60999999999999
701048,2025-02-05,2025-02-09,2025-03-15,FCO,FRA,FCO → FRA,DE1003,136.0,0.0,6.15,2,701048,FCO-FRA,142.15
701120,2025-03-15,2025-03-18,2025-03-29,FCO,FRA,FCO-FRA,DE1003,80.0,19.77,0.0,1,701120,FCO-FRA,99.77
701140,2025-04-05,2025-04-09,2025-04-09,FCO,FRA,FCO-FRA,DE1003,96.0,0.0,0.0,1,701140,FCO-FRA,96.0
701143,2025-01-17,2025-01-18,2025-03-01,FRA,FCO,FRA-FCO,DE1000,68.0,0.0,0.0,1,701143,FRA-FCO,68.0
701146,2025-04-19,2025-04-20,2025-04-25,FRA,FCO,FRA-FCO,DE1000,240.0,0.0,3.95,2,701146,FRA-FCO,243.95
701150,2025-02-17,2025-02-19,2025-04-14,PMO,FCO,PMO-FCO,DE1002,95.62,0.0,0.0,1,701150,PMO-FCO,95.62
701163,2025-02-23,2025-02-24,2025-03-07,FCO,PMO,FCO-PMO,DE1001,180.0,13.34,9.86,2,701163,FCO-PMO,203.2
701171,2025-02-27,2025-03-02,2025-03-30,FCO,FRA,FCO → FRA,DE1003,68.0,8.88,0.0,1,701171,FCO-FRA,76.88
701206,2025-03-02,2025-03-03,2025-03-12,FCO,FRA,FCO-FRA,DE1003,80.0,17.5,7.39,1,701206,FCO-FRA,104.89
701209,2025-04-26,2025-04-30,2025-04-28,FCO,FRA,FCO-FRA,DE1003,240.0,8.89,9.33,2,701209,FCO-FRA,258.21999999999997
701234,2025-02-08,2025-02-12,2025-03-09,FCO,PMO,FCO → PMO,DE1001,76.5,0.0,2.66,1,701234,FCO-PMO,79.16
701273,2025-04-04,2025-04-07,2025-04-23,PMO,FCO,PMO → FCO,DE1002,286.88,5.12,3.68,3,701273,PMO-FCO,295.68
701280,2025-03-18,2025-03-22,2025-04-16,FCO,PMO,FCO → PMO,DE1001,95.62,0.0,6.35,1,701280,FCO-PMO,101.97
701295,2025-03-01,2025-03-02,2025-03-02,FCO,FRA,FCO-FRA,DE1003,120.0,13.71,7.76,1,701295,FCO-FRA,141.47
701297,2025-02-13,2025-02-14,2025-03-08,FCO,PMO,FCO-PMO,DE1001,229.5,12.37,0.0,3,701297,FCO-PMO,241.87
701321,2025-02-06,2025-02-09,2025-03-05,PMO,FCO,PMO-FCO,DE1002,76.5,17.52,4.07,1,701321,PMO-FCO,98.09
701364,2025-02-23,2025-02-24,2025-03-05,FCO,PMO,FCO → PMO,DE1001,90.0,18.76,5.81,1,701364,FCO-PMO,114.57000000000001
701374,2025-03-28,2025-03-29,2025-04-27,FCO,FRA,FCO → FRA,DE1003,170.0,11.79,8.39,2,701374,FCO-FRA,190.18
701375,2025-03-05,2025-03-09,2025-04-18,FCO,PMO,FCO-PMO,DE1001,191.25,13.98,8.68,2,701375,FCO-PMO,213.91
701407,2025-02-26,2025-03-02,2025-03-07,FCO,FRA,FCO-FRA,DE1003,160.0,6.6,0.0,2,701407,FCO-FRA,166.6
701423,2025-04-21,2025-04-25,2025-04-28,FRA,FCO,FRA-FCO,DE1000,288.0,0.0,6.74,3,701423,FRA-FCO,294.74
701427,2025-03-23,2025-03-25,2025-04-26,FRA,FCO,FRA → FCO,DE1000,85.0,15.33,7.03,1,701427,FRA-FCO,107.36
701459,2025-03-20,2025-03-22,2025-04-10,FCO,PMO,FCO → PMO,DE1001,76.5,16.16,6.33,1,701459,FCO-PMO,98.99
701462,2025-02-07,2025-02-11,2025-04-02,FRA,FCO,FRA-FCO,DE1000,136.0,8.72,8.27,2,701462,FRA-FCO,152.99
701471,2025-03-25,2025-03-27,2025-04-03,PMO,FCO,PMO-FCO,DE1002,180.0,19.33,3.67,2,701471,PMO-FCO,202.99999999999997
701481,2025-03-11,2025-03-15,2025-03-14,FCO,PMO,FCO-PMO,DE1001,135.0,16.07,8.73,1,701481,FCO-PMO,159.79999999999998
701484,2025-03-17,2025-03-21,2025-03-28,FCO,PMO,FCO → PMO,DE1001,90.0,19.25,2.9,1,701484,FCO-PMO,112.15
701487,2025-03-09,2025-03-13,2025-03-13,FRA,FCO,FRA-FCO,DE1000,288.0,11.67,9.56,3,701487,FRA-FCO,309.23
701500,2025-01-27,2025-01-30,2025-03-13,PMO,FCO,PMO → FCO,DE1002,76.5,0.0,0.0,1,701500,PMO-FCO,76.5
701516,2025-03-13,2025-03-17,2025-03-31,FCO,FRA,FCO → FRA,DE1003,136.0,9.53,0.0,2,701516,FCO-FRA,145.53
701547,2025-03-21,2025-03-25,2025-04-20,PMO,FCO,PMO-FCO,DE1002,95.62,14.32,7.89,1,701547,PMO-FCO,117.83
701587,2025-02-18,2025-02-19,2025-04-10,FCO,FRA,FCO-FRA,DE1003,68.0,17.77,0.0,1,701587,FCO-FRA,85.77
701589,2025-01-23,2025-01-27,2025-03-05,FCO,FRA,FCO-FRA,DE1003,204.0,13.04,7.23,3,701589,FCO-FRA,224.26999999999998
701607,2025-04-08,2025-04-11,2025-04-30,FCO,FRA,FCO-FRA,DE1003,68.0,0.0,6.23,1,701607,FCO-FRA,74.23
701638,2025-01-28,2025-01-30,2025-03-23,FCO,PMO,FCO-PMO,DE1001,229.5,7.33,0.0,3,701638,FCO-PMO,236.83
701661,2025-02-13,2025-02-16,2025-03-02,FRA,FCO,FRA → FCO,DE1000,68.0,0.0,4.46,1,701661,FRA-FCO,72.46
701676,2025-03-29,2025-03-30,2025-04-18,PMO,FCO,PMO-FCO,DE1002,286.88,12.17,7.11,3,701676,PMO-FCO,306.16
701690,2025-02-05,2025-02-07,2025-04-05,FCO,FRA,FCO → FRA,DE1003,68.0,7.95,0.0,1,701690,FCO-FRA,75.95
701696,2025-03-17,2025-03-21,2025-04-11,FCO,FRA,FCO-FRA,DE1003,68.0,7.23,8.51,1,701696,FCO-FRA,83.74000000000001
701701,2025-03-15,2025-03-19,2025-04-13,FCO,PMO,FCO-PMO,DE1001,95.62,6.21,0.0,1,701701,FCO-PMO,101.83
701706,2025-04-21,2025-04-22,2025-04-25,FCO,PMO,FCO → PMO,DE1001,270.0,15.27,9.63,2,701706,FCO-PMO,294.9
701725,2025-02-14,2025-02-16,2025-03-09,FRA,FCO,FRA-FCO,DE1000,68.0,5.1,2.54,1,701725,FRA-FCO,75.64
701734,2025-03-03,2025-03-06,2025-03-26,FRA,FCO,FRA-FCO,DE1000,68.0,12.45,0.0,1,701734,FRA-FCO,80.45
701750,2025-03-29,2025-03-31,2025-04-27,FCO,PMO,FCO-PMO,DE1001,95.62,0.0,0.0,1,701750,FCO-PMO,95.62
701773,2025-02-12,2025-02-13,2025-03-07,FCO,PMO,FCO-PMO,DE1001,76.5,14.93,8.97,1,701773,FCO-PMO,100.4
701785,2025-03-11,2025-03-12,2025-03-24,FRA,FCO,FRA-FCO,DE1000,80.0,0.0,2.87,1,701785,FRA-FCO,82.87
701797,2025-03-18,2025-03-20,2025-03-23,FCO,PMO,FCO-PMO,DE1001,324.0,14.14,7.33,3,701797,FCO-PMO,345.46999999999997
701805,2025-02-12,2025-02-14,2025-03-07,FCO,PMO,FCO-PMO,DE1001,76.5,19.79,0.0,1,701805,FCO-PMO,96.28999999999999
701815,2025-03-04,2025-03-08,2025-03-09,FCO,FRA,FCO-FRA,DE1003,96.0,18.99,3.18,1,701815,FCO-FRA,118.17
701823,2025-02-14,2025-02-16,2025-04-05,PMO,FCO,PMO-FCO,DE1002,153.0,12.96,6.73,2,701823,PMO-FCO,172.69
701836,2025-03-14,2025-03-18,2025-04-21,PMO,FCO,PMO → FCO,DE1002,191.25,18.12,4.55,2,701836,PMO-FCO,213.92000000000002
701866,2025-03-08,2025-03-10,2025-03-23,FRA,FCO,FRA-FCO,DE1000,136.0,8.29,0.0,2,701866,FRA-FCO,144.29
701870,2025-03-09,2025-03-11,2025-04-18,FCO,PMO,FCO-PMO,DE1001,95.62,7.69,7.15,1,701870,FCO-PMO,110.46000000000001
701928,2025-03-15,2025-03-16,2025-03-26,FCO,FRA,FCO-FRA,DE1003,80.0,8.23,7.65,1,701928,FCO-FRA,95.88000000000001
701936,2025-03-05,2025-03-08,2025-04-19,FRA,FCO,FRA → FCO,DE1000,85.0,16.2,4.15,1,701936,FRA-FCO,105.35000000000001
701947,2025-03-04,2025-03-08,2025-04-18,FCO,FRA,FCO → FRA,DE1003,85.0,9.63,0.0,1,701947,FCO-FRA,94.63
701971,2025-02-27,2025-03-03,2025-04-27,FCO,FRA,FCO-FRA,DE1003,255.0,18.71,2.16,3,701971,FCO-FRA,275.87
701984,2025-03-01,2025-03-05,2025-04-18,FCO,PMO,FCO-PMO,DE1001,95.62,13.96,0.0,1,701984,FCO-PMO,109.58000000000001
701986,2025-03-02,2025-03-05,2025-04-06,PMO,FCO,PMO-FCO,DE1002,76.5,6.97,6.23,1,701986,PMO-FCO,89.7
701998,2025-02-03,2025-02-04,2025-04-02,FCO,PMO,FCO → PMO,DE1001,76.5,19.08,2.56,1,701998,FCO-PMO,98.14
702002,2025-04-18,2025-04-19,2025-04-20,PMO,FCO,PMO-FCO,DE1002,168.75,0.0,7.17,1,702002,PMO-FCO,175.92
702059,2025-04-09,2025-04-13,2025-04-26,PMO,FCO,PMO-FCO,DE1002,95.62,15.85,2.31,1,702059,PMO-FCO,113.78
702071,2025-02-22,2025-02-24,2025-04-04,PMO,FCO,PMO → FCO,DE1002,76.5,0.0,0.0,1,702071,PMO-FCO,76.5
702107,2025-03-26,2025-03-28,2025-04-09,FRA,FCO,FRA-FCO,DE1000,80.0,12.52,2.2,1,702107,FRA-FCO,94.72
702115,2025-03-21,2025-03-23,2025-04-03,FCO,FRA,FCO → FRA,DE1003,160.0,9.11,0.0,2,702115,FCO-FRA,169.11
702119,2025-02-11,2025-02-15,2025-04-07,PMO,FCO,PMO-FCO,DE1002,153.0,7.34,7.86,2,702119,PMO-FCO,168.20000000000002
702145,2025-02-26,2025-02-28,2025-03-28,FCO,PMO,FCO → PMO,DE1001,153.0,16.82,8.59,2,702145,FCO-PMO,178.41
702155,2025-02-05,2025-02-07,2025-03-30,FRA,FCO,FRA-FCO,DE1000,136.0,0.0,3.0,2,702155,FRA-FCO,139.0
702169,2025-02-14,2025-02-18,2025-04-03,FRA,FCO,FRA-FCO,DE1000,136.0,5.34,9.83,2,702169,FRA-FCO,151.17000000000002
702171,2025-03-22,2025-03-24,2025-04-20,FRA,FCO,FRA-FCO,DE1000,85.0,7.7,4.03,1,702171,FRA-FCO,96.73
702183,2025-04-04,2025-04-06,2025-04-25,FCO,PMO,FCO-PMO,DE1001,95.62,0.0,8.05,1,702183,FCO-PMO,103.67
702187,2025-03-21,2025-03-25,2025-04-26,PMO,FCO,PMO-FCO,DE1002,95.62,8.32,6.61,1,702187,PMO-FCO,110.55
702214,2025-03-16,2025-03-19,2025-03-20,FCO,PMO,FCO → PMO,DE1001,108.0,15.05,8.7,1,702214,FCO-PMO,131.75
702227,2025-01-27,2025-01-31,2025-03-06,FCO,FRA,FCO → FRA,DE1003,68.0,0.0,8.9,1,702227,FCO-FRA,76.9
702290,2025-03-02,2025-03-05,2025-04-11,FRA,FCO,FRA-FCO,DE1000,204.0,17.8,0.0,3,702290,FRA-FCO,221.8
702307,2025-01-27,2025-01-28,2025-03-16,PMO,FCO,PMO-FCO,DE1002,153.0,19.01,4.01,2,702307,PMO-FCO,176.01999999999998
702342,2025-02-21,2025-02-24,2025-03-09,FCO,PMO,FCO-PMO,DE1001,229.5,0.0,0.0,3,702342,FCO-PMO,229.5
702364,2025-04-04,2025-04-05,2025-04-12,FCO,FRA,FCO-FRA,DE1003,160.0,5.16,0.0,2,702364,FCO-FRA,165.16
702366,2025-03-26,2025-03-29,2025-03-31,PMO,FCO,PMO-FCO,DE1002,108.0,0.0,0.0,1,702366,PMO-FCO,108.0
702380,2025-02-10,2025-02-14,2025-03-03,FCO,FRA,FCO-FRA,DE1003,68.0,12.64,5.78,1,702380,FCO-FRA,86.42
702394,2025-03-12,2025-03-16,2025-03-23,PMO,FCO,PMO-FCO,DE1002,180.0,0.0,6.65,2,702394,PMO-FCO,186.65
702443,2025-01-22,2025-01-25,2025-03-08,FCO,FRA,FCO → FRA,DE1003,136.0,5.71,5.65,2,702443,FCO-FRA,147.36
702447,2025-02-03,2025-02-06,2025-03-15,FCO,FRA,FCO-FRA,DE1003,68.0,19.02,9.11,1,702447,FCO-FRA,96.13
702467,2025-03-24,2025-03-25,2025-04-06,FRA,FCO,FRA-FCO,DE1000,160.0,12.97,2.68,2,702467,FRA-FCO,175.65
702481,2025-03-21,2025-03-23,2025-04-18,FRA,FCO,FRA-FCO,DE1000,255.0,0.0,3.7,3,702481,FRA-FCO,258.7
702495,2025-02-19,2025-02-21,2025-03-10,FRA,FCO,FRA-FCO,DE1000,68.0,19.64,0.0,1,702495,FRA-FCO,87.64
702507,2025-01-17,2025-01-20,2025-03-02,FCO,FRA,FCO-FRA,DE1003,136.0,13.69,7.42,2,702507,FCO-FRA,157.10999999999999
702521,2025-03-31,2025-04-02,2025-04-10,PMO,FCO,PMO-FCO,DE1002,90.0,0.0,3.95,1,702521,PMO-FCO,93.95
702581,2025-02-14,2025-02-15,2025-03-01,FRA,FCO,FRA → FCO,DE1000,68.0,10.96,6.57,1,702581,FRA-FCO,85.53
702604,2025-02-15,2025-02-18,2025-03-13,PMO,FCO,PMO-FCO,DE1002,153.0,8.0,4.56,2,702604,PMO-FCO,165.56
702611,2025-02-07,2025-02-10,2025-03-24,PMO,FCO,PMO → FCO,DE1002,76.5,0.0,9.38,1,702611,PMO-FCO,85.88
702726,2025-04-19,2025-04-23,2025-04-25,FRA,FCO,FRA-FCO,DE1000,120.0,7.33,4.82,1,702726,FRA-FCO,132.15
702729,2025-02-25,2025-02-27,2025-03-15,FRA,FCO,FRA-FCO,DE1000,136.0,15.65,9.68,2,702729,FRA-FCO,161.33
702747,2025-02-25,2025-02-26,2025-04-14,FCO,FRA,FCO → FRA,DE1003,85.0,0.0,0.0,1,702747,FCO-FRA,85.0
702757,2025-03-01,2025-03-02,2025-04-20,PMO,FCO,PMO-FCO,DE1002,95.62,14.28,0.0,1,702757,PMO-FCO,109.9
702766,2025-04-06,2025-04-09,2025-04-17,FCO,PMO,FCO-PMO,DE1001,112.5,9.06,4.5,1,702766,FCO-PMO,126.06
702782,2025-01-28,2025-01-29,2025-03-14,PMO,FCO,PMO-FCO,DE1002,76.5,19.6,2.86,1,702782,PMO-FCO,98.96
702826,2025-04-05,2025-04-07,2025-04-19,FCO,PMO,FCO-PMO,DE1001,112.5,6.27,6.31,1,702826,FCO-PMO,125.08
702828,2025-02-17,2025-02-20,2025-03-08,FRA,FCO,FRA-FCO,DE1000,136.0,0.0,7.03,2,702828,FRA-FCO,143.03
702862,2025-03-23,2025-03-26,2025-04-25,FRA,FCO,FRA-FCO,DE1000,170.0,0.0,0.0,2,702862,FRA-FCO,170.0
702886,2025-03-21,2025-03-22,2025-04-10,PMO,FCO,PMO-FCO,DE1002,153.0,9.31,7.75,2,702886,PMO-FCO,170.06
702900,2025-03-09,2025-03-10,2025-04-25,FRA,FCO,FRA-FCO,DE1000,85.0,19.7,8.54,1,702900,FRA-FCO,113.24000000000001
702914,2025-02-20,2025-02-24,2025-04-19,FCO,PMO,FCO-PMO,DE1001,95.62,8.31,6.72,1,702914,FCO-PMO,110.65
702928,2025-03-19,2025-03-23,2025-04-27,FCO,PMO,FCO-PMO,DE1001,95.62,18.35,0.0,1,702928,FCO-PMO,113.97
702931,2025-02-20,2025-02-21,2025-03-22,FRA,FCO,FRA-FCO,DE1000,136.0,5.47,5.17,2,702931,FRA-FCO,146.64
702937,2025-02-20,2025-02-23,2025-04-13,FCO,FRA,FCO-FRA,DE1003,85.0,18.68,0.0,1,702937,FCO-FRA,103.68
702938,2025-03-27,2025-03-31,2025-04-09,FCO,FRA,FCO → FRA,DE1003,160.0,12.73,8.05,2,702938,FCO-FRA,180.78
702939,2025-02-06,2025-02-09,2025-03-01,PMO,FCO,PMO-FCO,DE1002,76.5,18.66,3.0,1,702939,PMO-FCO,98.16
702941,2025-04-04,2025-04-05,2025-04-07,FCO,PMO,FCO → PMO,DE1001,135.0,7.32,7.23,1,702941,FCO-PMO,149.54999999999998
702948,2025-02-20,2025-02-21,2025-04-16,PMO,FCO,PMO-FCO,DE1002,286.88,0.0,6.55,3,702948,PMO-FCO,293.43
702976,2025-01-30,2025-02-01,2025-03-19,FCO,PMO,FCO-PMO,DE1001,153.0,8.22,0.0,2,702976,FCO-PMO,161.22
702989,2025-03-11,2025-03-14,2025-04-26,FRA,FCO,FRA → FCO,DE1000,255.0,0.0,6.82,3,702989,FRA-FCO,261.82
703067,2025-02-15,2025-02-19,2025-03-01,FCO,PMO,FCO → PMO,DE1001,180.0,0.0,6.19,2,703067,FCO-PMO,186.19
703070,2025-03-20,2025-03-24,2025-04-30,FCO,PMO,FCO-PMO,DE1001,76.5,13.06,9.87,1,703070,FCO-PMO,99.43
703078,2025-03-02,2025-03-05,2025-03-27,FCO,FRA,FCO-FRA,DE1003,136.0,19.53,0.0,2,703078,FCO-FRA,155.53
703121,2025-02-09,2025-02-12,2025-03-30,PMO,FCO,PMO → FCO,DE1002,153.0,13.14,2.48,2,703121,PMO-FCO,168.61999999999998
703124,2025-03-22,2025-03-26,2025-04-20,FCO,PMO,FCO-PMO,DE1001,286.88,19.55,6.56,3,703124,FCO-PMO,312.99
703130,2025-03-02,2025-03-05,2025-04-20,FRA,FCO,FRA-FCO,DE1000,170.0,5.32,2.46,2,703130,FRA-FCO,177.78
703156,2025-01-16,2025-01-20,2025-03-07,FCO,FRA,FCO → FRA,DE1003,136.0,0.0,0.0,2,703156,FCO-FRA,136.0
703174,2025-01-30,2025-01-31,2025-03-07,FCO,FRA,FCO-FRA,DE1003,68.0,0.0,9.36,1,703174,FCO-FRA,77.36
